"content","username","tweet_published_at","type"
"uang bisa dicari, tapi kalo coldplay ke Indonesia cuma sekali!! xixixi

Ada yang otw boncos juga? 😹😆

#ColdplayIndonesia #ColdplayJakarta #ColdplayInJakarta #Coldplay #ColdplayinJakarta2023 https://t.co/yHolXgTJm4","mejakita","2023-05-10 17:33:25+07","tweet"
"Btw, kedatangan Coldplay ke Indonesia dan perkiraan gelombang cuti yg cukup masif antara 13-17 November 2023 mendatang, bisa jadi ajang pembuktian para atasan bahwa mereka love-able, sih.

Buat perusahaan, bisa jadi celah branding yg bagus juga ini. 😡","setowicaksono","2023-05-10 16:44:25+07","replied_to"
"@PeoplePlues62 @rakasurya1806_ @GOAL_ID Satu lagi fmd kan tiap tahun ada ya, sedangkan coldplay ke Indonesia itu bisa seumur hidup sekali doang bang jadi tolong sedikit dibedain ya 🙏","nayelpotatoes","2023-05-10 16:35:28+07","replied_to"
"Negosiasi Datangkan Coldplay ke Indonesia Terjadi Hanya dalam Semalam  https://t.co/wOT4jULTA4","KompasEnt","2023-05-10 16:18:02+07","tweet"
"@komikazer Padahal netizen yg nge-hype Coldplay ke Indonesia kalau ditanya band favorit pasti pilihannya band anti mainstream biar dikira musikalitas nya tinggi, jarang tuh yg jawab Coldplay 😅😅","monorahab","2023-05-10 15:46:01+07","replied_to"
"Uang bisa dicari, tp coldplay ke indonesia hanya sekali 😭","dhealova_a","2023-05-10 15:35:49+07","tweet"
"Ngomongin betapa meriahnya acara yg ada di 2023, termasuk datangnya Coldplay ke Indonesia 

https://t.co/yArq15pCqJ","Mbotby_","2023-05-10 15:30:03+07","tweet"
"Fans BMKG Indonesia di tahun 2023
1. Mengemis ke Hammersonic 
2. Sok keras
3. Paling yoi
4. Iri dengki dgn Coldplay ke Indonesia
5. Norak","xrobbytuaryx","2023-05-10 15:27:59+07","tweet"
"@txtdrpengusaha Anjir COLDPLAY KE INDONESIA DONG 🥹","Lalapolala__","2023-05-10 14:46:56+07","replied_to"
"@txtdrpengusaha Alhamdulillah doa gw di denger akhirnya Coldplay ke Indonesia 😭😭","tifaarqi","2023-05-10 14:44:19+07","replied_to"
"Kalo Coldplay ke Indonesia, kira-kira bakal mampir kesini gak ya? https://t.co/9ZmU9RE8Wh","gen987fm","2023-05-10 14:10:55+07","tweet"
"@txtdrpengusaha Anjir demi apa Coldplay ke Indonesia 🫠🫠","AdyasariReina","2023-05-10 14:42:32+07","replied_to"
"@txtdrpengusaha Keren emang nih akhirnya Coldplay ke Indonesia jga","ulfiabasry","2023-05-10 14:42:04+07","replied_to"
"@txtdrpengusaha Setelah sekian lama menunggu Coldplay ke Indonesia jg","nurfayaalfa","2023-05-10 14:41:48+07","replied_to"
"Pertama kalinya Coldplay ke Indonesia sedangkan Pertama dan terakhir kalinya liat Messi main di Indonesia, sungguh pilihan yang berat.","Wahyu_Wakem27","2023-05-10 14:13:54+07","tweet"
"""Uang bisa dicari, tapi Coldplay ke Indonesia hanya sekali"" 🤣 https://t.co/1xwhuyLAsl","txtdarionlshop","2023-05-10 14:09:48+07","tweet"
"uang bisa dicari, tapi coldplay ke indonesia hanya sekali, gaslah nntn","abidfaturrahman","2023-05-10 14:04:20+07","tweet"
"Uang bisa dicari, tapi coldplay ke indonesia hanya sekali","ganifirass","2023-05-10 13:53:25+07","tweet"
"Uang bisa di cari tapi Coldplay ke Indonesia cuma sekaliii!!!info pinjol🥲","mvlatcha","2023-05-10 13:39:50+07","tweet"
"uang bisa dicari, tp coldplay ke indonesia hanya sekali. penak bgt cocotmu le golek duit angel😭🙏","nabilasbll","2023-05-10 13:27:50+07","tweet"
"@lunarrmagic duit bisa dicari, coldplay ke indonesia cuma sekali.
info jual ginjal klik link dibawah ini :

LINK","ilangwe","2023-05-10 13:10:13+07","replied_to"
"@Maharannys uang bisa dicari tp coldplay ke Indonesia cuma sekali 🫣","pabloestafet","2023-05-10 13:08:18+07","replied_to"
"motto hidup gua kali ini:

""uang bisa dicari. tapi coldplay ke Indonesia, jarang sekali""","usertdktersedia","2023-05-10 12:48:34+07","tweet"
"“uang bisa dicari tapi coldplay ke indonesia hanya sekali” YAAA COBA CARIIN DUITNYA MANA😭 https://t.co/yUuZASSHDK","yuliatamarap","2023-05-10 12:42:39+07","tweet"
"uang bisa dicari tapi coldplay ke indonesia... uangnya masih dicari","vluxe__","2023-05-10 12:27:55+07","tweet"
"@gimmeursweater ijin lah koasnya ditunda aje, kapan lg coldplay ke indonesia kuliah mah bisa taun depan lagi","FallennnnS","2023-05-10 10:46:42+07","tweet"
"Katanya ""uang bisa dicari, tapi coldplay ke Indonesia hanya sekali"". Pengen nonton coldplay 😭😭😭💔","Psrmixx","2023-05-10 10:38:01+07","tweet"
"Kalo coldplay ke indonesia, trus indonesia kemana?","Erikkristanto14","2023-05-10 09:17:54+07","tweet"
"uang bisa dicari
tapi kalo COLDPLAY ke Indonesia
“cuma sekali”","afiefdarwian","2023-05-10 09:03:19+07","tweet"
"@adeliaerlina kerja bisa tiap hari lin, tapi coldplay ke Indonesia kapan lagiiii 🤣","ekoesetiawan11","2023-05-11 08:54:42+07","replied_to"
