content	username
['coldplay', 'jakarta', 'konser', 'manahan', 'drpd', 'kepake', 'modal']	n291821
['minn']	Rainbee39413812
['next', 'dpt', 'tiket', 'konsernya']	murniahmadi
['sh', 'september', 'coldplay', 'november', 'nonton', 'dua2nya']	im_risty
['news', 'antusiasme', 'coldplayriverplatefilm', 'kota', 'aplikasi', 'bioskop', 'terkait', 'tickets', 'amp']	IDWantsColdplay
['update', 'coldplayriverplatefilm', 'dibeli', 'amp', 'jadwal', 'ekslusif', 'bioskop', 'april']	IDWantsColdplay
['coldplay', 'konser', 'akbar', 'indonesia']	JMatip32
['sma', 'coldplay']	doyoungsehun
['lho', 'fans', 'berat', 'coldplay', 'autoplay']	pradanaca
['tiba²', 'muncul', 'idolnya', 'tertampar', 'kenyataan']	fitarmy7
['andalan']	imyourcalico_
['beneran', 'mikiran', 'bts', 'coldplay']	wtfheree
['nonton', 'deh', 'mam', 'vodnya', 'seru', 'nontonin', 'coldplay']	shelaism
['temenan', 'pls', 'hype', 'nct', 'day6', 'iz', 'zb1', 'suka', 'keshi', 'oor', 'coldplay', 'western', 'old', 'aneh', 'indo', 'n', 'jawa', 'pokoknya', 'suka', 'baca', 'webtoon', 'nonton', 'film', 'drakor', 'anime', 'pokoknya']	moienne
['penjelasan', 'repot2', 'perdebatkan', 'online', 'yaudah', 'paham', 'sesimpel']	iconiclau
['coldplay', 'shows', 'data', 'bts', 'bts', 'penonton', 'live', 'sampe', 'penonton', 'online', 'clear']	iconiclau
['akun', 'bener', 'data', 'perdebatkan', 'faedahnya', 'penjelasan', 'fake', 'data', 'suka', 'terima', 'bts', 'percaya', 'idolnya']	bucinJeykey16
['jelasin', 'akun', 'akun', 'bener', 'sofi', 'aj', 'sold', 'online', 'aj', 'beli', 'miliaran', 'perdebatan', 'aj', 'coldplay']	bucinJeykey16
['sedih', 'cas', 'coldplay', 'hatie']	ncv1997well
['nnti', 'bdut', 'coldplay', 'tayswift']	honeypieofhood
['coldplay', 'deh']	judithyaangel
['coldplay', 'queen', 'one', 'direction', 'ts', 'bp', 'mj']	howsungoesdown
['tiket', 'coldplay', 'jual']	Waffen_SS54
['ah', 'coldplay', 'mcm', 'panas', 'n', 'mahal']	fadhilrithwan
['coldplay', 'bts']	angelrachel_
['coldplay']	plebengers
['bhay', 'kq', 'dipake', 'coldplay', 'kelen', 'menyesal', 'tis', 'tis', 'indonesia']	woovannys
['iye', 'anjirrr', 'nonton', 'radwimps', 'coldplay']	blckswaaan
['haha', 'rajin', 'next', 'dmasiv', 'lepas', 'berpuasa', 'concert', 'berharap', 'coldplay', 'berharap']	addadudu_
['sidiq', 'puter', 'habis']	GeronimoFM
['oalah', 'soon', 'one', 'konser', 'dimari', 'coldplay']	layl_m
['tau', 'andalan', 'dibawah', 'yes', 'ntar', 'puterin', 'playplayplay', 'wa']	GeronimoFM
['coldplay', 'buka', 'open']	meegaaww
['nonton', 'konser', 'music', 'spheres', 'bioskop', 'siapin', 'bioskop', 'favoritmu', 'pastiin', 'amanin', 'tiketnya', 'buruan', 'beli']	loketscreen
