content	username	tweet_published_at	type
"Coldplay lyric @coldplay
Terbangun bobo sendiri welcome mei 2023.
aku sila
aku bela
aku rela
aku pila
""Setitik cahaya diri agar tidak nafsu dan gila sebuah pangkat yang hanya untuk perut sendiri dan keluarga menjadi sebuah perangkat agar tidak melarat.""‼️
-DUKA-📝🎧🎸

-VieW 😌🤞 https://t.co/YpJFe5eQ1E"	b16slow	2023-05-02 02:17:24+07	tweet
@sskinnypandaxx ttp lebih priority in taylor dli sorry bgt bro @coldplay	soursadly	2023-05-02 01:38:35+07	replied_to
@MUSIKMENFESS Bmth g dl mo coldplay ma ayank	ktpjajank	2023-05-02 01:09:42+07	replied_to
@MUSIKMENFESS mungkin kalo yg pernah diliat masi bts sm coldplay, trs svt/txt mungkin bisa nyusul kedepannya	zendafiar	2023-05-02 01:00:52+07	replied_to
@inigladisss mending diajak nonton Coldplay	panggilajajuu	2023-05-03 22:47:06+07	replied_to
@convomfs Coldplay beneran ke indo gaaaak?	ardsandd	2023-05-02 18:55:57+07	replied_to
@erickthohir Uang bisa dicari, Coldplay ke Indonesia cuma sekali, tapi liat messi di tackle Asnawi itu lebih berarti 🤣	beporizal	2023-05-24 21:46:35+07	replied_to
@detikcom Coldplay ke Indonesia kapan lagi 🤣🤣🙃	vegetablefried1	2023-05-24 07:18:51+07	replied_to
@tanyakanrl coldplay ke indonesia belum tentu cuma sekali, tapi kita ngeliat asnawi tackle messi itu lebih menarik. damn argen 7-1 indo	boysoftheyear	2023-05-24 19:31:44+07	replied_to
@IDWantsColdplay @coldplay @NajwaShihab @MataNajwa @NarasiNewsroom @narasitv Kapan Datang Lagi Ya @coldplay Ke indonesia ? Klw Dtg lagi nya 10 thn atau 20 thn kemudian keburu eike udah Tua gk kuat lompat² 🤣😂	GRhs292374	2023-05-24 19:27:55+07	replied_to
@PSSI Coldplay ke indonesia bisa berkali-kali, tapi messi ke indonesia mungkin cuma sekali	istighfarrs	2023-05-24 18:33:14+07	replied_to
Excited to be back on my @coldplay MC duties tonight 🥹🖤 #ColdplayBarcelona https://t.co/Ngkmb3MqIo	laurenevemay	2023-05-24 15:58:31+07	tweet
@PSSI Uang bisa dicari, Coldplay ke Indonesia cuma sekali, tapi liat messi di tackle Asnawi itu lebih berarti	ahmadalfaris_	2023-05-24 21:54:44+07	replied_to
"@SiaranBolaLive pak @erickthohir kok berbisnis dengan rakyat?
katanya mau jadi wapres"	LiarRonin	2023-05-25 14:42:29+07	replied_to
"@idextratime nonton bang messi pinjol
nonton coldplay nabung 20k sehari"	anakmamanurr	2023-05-05 18:04:42+07	replied_to
"Jumatan ini ga terlalu ngantuk gara² khotib bahas @coldplay ke Indonesia. ""Masya Allah, grup musik yang selalu mengkampanyekan LGBT. Dan ada menteri kita yang tetap menerima dengan senang hati"". https://t.co/DabI66jG8M"	IJUN666	2023-05-26 15:20:14+07	tweet
@SINGAYEHUDA51 Tolak @coldplay ke indonesia @sandiuno , lgbt itu haram	rachman0565	2023-05-30 08:33:42+07	replied_to
@arbainrambey Uang bisa dicari, Coldplay ke Indonesia cuma sekali, tapi liat Messi di tackle Asnawi itu lebih berarti	yagovic	2023-05-30 17:24:26+07	replied_to
@pe2nn @GOAL_ID Coldplay ke indonesia lu pkir gk diundang? Cuma kasih duit trus mereka pd mau dtg? Bedakanlah undangan anak ulang tahun sama undangan kerjaan profesional	VeinDee	2023-06-02 11:41:29+07	replied_to
"Kalau @erickthohir mendatangkan Timnas Argentina dan @sandiuno menghadirkan Coldplay ke Indonesia, @YaqutCQoumas apa tidak mau mengundang Paus Fransiskus tahun ini?

#CaweCaweCawapres"	gerardomayolla	2023-06-06 07:40:28+07	tweet
@FaktaSepakbola @leoparadizo terus nanti pas Coldplay ke Indonesia,Chris Martin ga ikut juga	garinp4	2023-06-10 22:27:58+07	replied_to
@Box2BoxBola @leoparadizo Chris Martin belum bisa dipastikan juga hadir dalam tour Coldplay ke Indonesia karena penyakit amandel baru2 ini akibat kebanyakan makan cireng dan kemungkinan digantikan Aldi Taher	ardianfrmnsyah	2023-06-10 21:39:35+07	replied_to
"@ernestprakasa ""kapan lagi Coldplay ke Indonesia?"" Kata calo ketika itu"	Bungwil	2023-06-12 13:23:07+07	replied_to
"@dwikaputra Sebenernya coldplay ke indonesia itu 3 hari
Hari pertama wisata sejarah dan budaya. 
Hari ke-2 konser. 
Hari ke-3 ditutup wisata kuliner nusantara. 
Ini bertujuan untuk meningkatkan awareness pariwisata indonesia ke masyarakat luar. 

Bismillah stafsus kemenparekraf @sandiuno"	zulhamyachya	2023-06-13 21:10:22+07	replied_to
@iga_massardi Setelah Argentina tanpa Messi, apakah nanti Coldplay ke Indonesia tanpa Chris Martin?	sdnarm	2023-06-14 09:12:38+07	tweet
@RezaFHW @coldplay Tanyakan kepada promotor yang bawa coldplay ke Indonesia bang	uyeuyeuyeee	2023-06-20 09:53:54+07	replied_to
gils , infonya november @coldplay  ke indonesia dongg 😭😭😭😍😍😍	DonIsilop	2023-04-08 04:34:44+07	tweet
@qtbbymoan Bertobatlah bestie , tanda tanda Coldplay ke Indonesia sudah dekat	Don_Musc	2023-06-18 16:07:39+07	replied_to
@pandji Bisa datengin argentina dan coldplay ke indonesia	WMaulana_	2023-06-21 13:06:10+07	replied_to
@registaco Udah batalin aja Coldplay ke Indonesia mah, biar kapok orang2 itu wkwk	Mohaguss1708	2023-06-24 00:22:59+07	replied_to
@IDWantsColdplay @alienradiofm @coldplay CEPET DONG UMUMIN AKU GA BISA DIGINIIIN 😭	fitriandiani	2023-05-02 16:32:39+07	replied_to
@idextratime Tolak coldplay ke indonesia, calo ketar ketir sambalasambalado	irwinfesal	2023-06-25 22:30:31+07	replied_to
@sosmedkeras Sudah,jangan di judge lagi..mungkin dia nangis karena kehabisan tiket coldplay..	itsyour_abe	2023-05-05 18:50:38+07	replied_to
@tiketXid yah paling bioskop. agak susah bawa coldplay ke indonesia. dari dulu…..	riossummers	2023-04-08 00:30:16+07	replied_to
Bismillah, kalau memang benar @coldplay ke Indonesia, semoga di bulan Desember🤲🏻	rmengnici	2023-04-08 15:31:20+07	tweet
@Rasyadh_ @XtremeMerch wah coldplay november, marai pingin nontok ae	hasgardians	2023-05-05 18:02:25+07	replied_to
